,numid,list,messageid,senderaliasid,senderalias,referenceid,recipaliasid,recipalias,datetime,subject,body,from_commit
33,26631,54,JIRA.13110563.1508383237000.4499.1508383560041@Atlassian.JIRA,2138,Ace Haidrey (JIRA),JIRA.13110563.1508383237000@Atlassian.JIRA,,,2017-10-18 20:26:00-07,"[jira] [Updated] (AIRFLOW-1735) Log files do not show up for
 unscheduled dags","
     [ https://issues.apache.org/jira/browse/AIRFLOW-1735?page=com.atlassian.jira.plugin.system.issuetabpanels:all-tabpanel ]

Ace Haidrey updated AIRFLOW-1735:
---------------------------------
    Description: 
I created a new dag with a schedule of {{@once}} and left it unscheduled.  I ran different tasks a few times from the UI but the logs never showed up.  Instead I''d see messages like the following:
{code}
*** Log file isn''t local.
*** Fetching here: http://al-tools2.savagebeast.com:18700/log/analytics_kochava_import_dag/kopandoraradioandroid1134523b395684da7_request/2017-06-21
*** Failed to fetch log file from worker.
{code}

There is a log file for this task, but it seems to be at a slightly different path on the machine:

{code}
(airflow)hadoop@al-tools2:~/.virtualenvs/airflow$ ls -lth ./airflow_home/logs/analytics_kochava_import_dag/kopandoraradioandroid1134523b395684da7_request/2017-06-21T00\:00\:00
-rw-rw-rw- 1 hadoop hadoop 5.2K Jun 21 21:57 ./airflow_home/logs/analytics_kochava_import_dag/kopandoraradioandroid1134523b395684da7_request/2017-06-21T00:00:00
{code}

And indeed, when I change the URL to WEB_SERVER/admin/airflow/log?task_id=TASK_ID_request&dag_id=DAG_ID&execution_date=2017-06-21T00:00:00, I see the actual log:

{code}
*** Reading local log.
[2017-06-21 21:57:20,931] {models.py:172} INFO - Filling up the DagBag from ~/analytics_kochava_import_dag.py
[2017-06-21 21:57:21,307] {analytics_kochava_import_dag.py:139} INFO - Kochava app IDs 
...
[2017-06-21 21:57:26,400] {jobs.py:2083} INFO - Task exited with return code 0
{code}

I''ve added a screen shot of it below.

*FIX:*
I have noticed in www/view.py the issue is not have the time component 00:00:00 and we can get that quite easily if it doesnt have it. You can see in this PR I made, but basically if we set
{code}
dttm = dateutil.parser.parse(request.args.get(''execution_date''))
execution_date = dttm.isoformat()
{code}
This will fix it.

  was:
I created a new dag with a schedule of {{@once}} and left it unscheduled.  I ran different tasks a few times from the UI but the logs never showed up.  Instead I''d see messages like the following:
{code}
*** Log file isn''t local.
*** Fetching here: http://al-tools2.savagebeast.com:18700/log/analytics_kochava_import_dag/kopandoraradioandroid1134523b395684da7_request/2017-06-21
*** Failed to fetch log file from worker.
{code}

There is a log file for this task, but it seems to be at a slightly different path on the machine:

{code}
(airflow)hadoop@al-tools2:~/.virtualenvs/airflow$ ls -lth ./airflow_home/logs/analytics_kochava_import_dag/kopandoraradioandroid1134523b395684da7_request/2017-06-21T00\:00\:00
-rw-rw-rw- 1 hadoop hadoop 5.2K Jun 21 21:57 ./airflow_home/logs/analytics_kochava_import_dag/kopandoraradioandroid1134523b395684da7_request/2017-06-21T00:00:00
{code}

And indeed, when I change the URL to WEB_SERVER/admin/airflow/log?task_id=TASK_ID_request&dag_id=DAG_ID&execution_date=2017-06-21T00:00:00, I see the actual log:

{code}
*** Reading local log.
[2017-06-21 21:57:20,931] {models.py:172} INFO - Filling up the DagBag from ~/analytics_kochava_import_dag.py
[2017-06-21 21:57:21,307] {analytics_kochava_import_dag.py:139} INFO - Kochava app IDs 
...
[2017-06-21 21:57:26,400] {jobs.py:2083} INFO - Task exited with return code 0
{code}

I''ve added a screen shot of it below.

*FIX:*
I have noticed in www/view.py the issue is not have the time component 00:00:00 and we can get that quite easily if it doesnt have it. You can see in this PR I made.


> Log files do not show up for unscheduled dags
> ---------------------------------------------
>
>                 Key: AIRFLOW-1735
>                 URL: https://issues.apache.org/jira/browse/AIRFLOW-1735
>             Project: Apache Airflow
>          Issue Type: Bug
>            Reporter: Ace Haidrey
>            Assignee: Ace Haidrey
>              Labels: www
>         Attachments: Screen Shot 2017-06-21 at 10.53.28 PM.png
>
>
> I created a new dag with a schedule of {{@once}} and left it unscheduled.  I ran different tasks a few times from the UI but the logs never showed up.  Instead I''d see messages like the following:
> {code}
> *** Log file isn''t local.
> *** Fetching here: http://al-tools2.savagebeast.com:18700/log/analytics_kochava_import_dag/kopandoraradioandroid1134523b395684da7_request/2017-06-21
> *** Failed to fetch log file from worker.
> {code}
> There is a log file for this task, but it seems to be at a slightly different path on the machine:
> {code}
> (airflow)hadoop@al-tools2:~/.virtualenvs/airflow$ ls -lth ./airflow_home/logs/analytics_kochava_import_dag/kopandoraradioandroid1134523b395684da7_request/2017-06-21T00\:00\:00
> -rw-rw-rw- 1 hadoop hadoop 5.2K Jun 21 21:57 ./airflow_home/logs/analytics_kochava_import_dag/kopandoraradioandroid1134523b395684da7_request/2017-06-21T00:00:00
> {code}
> And indeed, when I change the URL to WEB_SERVER/admin/airflow/log?task_id=TASK_ID_request&dag_id=DAG_ID&execution_date=2017-06-21T00:00:00, I see the actual log:
> {code}
> *** Reading local log.
> [2017-06-21 21:57:20,931] {models.py:172} INFO - Filling up the DagBag from ~/analytics_kochava_import_dag.py
> [2017-06-21 21:57:21,307] {analytics_kochava_import_dag.py:139} INFO - Kochava app IDs 
> ...
> [2017-06-21 21:57:26,400] {jobs.py:2083} INFO - Task exited with return code 0
> {code}
> I''ve added a screen shot of it below.
> *FIX:*
> I have noticed in www/view.py the issue is not have the time component 00:00:00 and we can get that quite easily if it doesnt have it. You can see in this PR I made, but basically if we set
> {code}
> dttm = dateutil.parser.parse(request.args.get(''execution_date''))
> execution_date = dttm.isoformat()
> {code}
> This will fix it.



--
This message was sent by Atlassian JIRA
(v6.4.14#64029)

",t
34,26632,54,JIRA.13110574.1508391320000.5169.1508391360039@Atlassian.JIRA,2336,Jetsada Machom (JIRA),JIRA.13110574.1508391320000@Atlassian.JIRA,,,2017-10-18 22:36:00-07,"[jira] [Created] (AIRFLOW-1736) Add HotelQuickly to Who Uses
 Airflow","Jetsada Machom created AIRFLOW-1736:
---------------------------------------

             Summary: Add HotelQuickly to Who Uses Airflow
                 Key: AIRFLOW-1736
                 URL: https://issues.apache.org/jira/browse/AIRFLOW-1736
             Project: Apache Airflow
          Issue Type: Task
            Reporter: Jetsada Machom
            Assignee: Jetsada Machom
            Priority: Trivial






--
This message was sent by Atlassian JIRA
(v6.4.14#64029)

",t
35,26633,54,JIRA.13080275.1497572872000.5379.1508392860348@Atlassian.JIRA,2027,Yu Ishikawa (JIRA),JIRA.13080275.1497572872000@Atlassian.JIRA,,,2017-10-18 23:01:00-07,[jira] [Closed] (AIRFLOW-1310) Kubernetes execute operator,"
     [ https://issues.apache.org/jira/browse/AIRFLOW-1310?page=com.atlassian.jira.plugin.system.issuetabpanels:all-tabpanel ]

Yu Ishikawa closed AIRFLOW-1310.
--------------------------------
    Resolution: Duplicate

> Kubernetes execute operator
> ---------------------------
>
>                 Key: AIRFLOW-1310
>                 URL: https://issues.apache.org/jira/browse/AIRFLOW-1310
>             Project: Apache Airflow
>          Issue Type: New Feature
>          Components: operators
>            Reporter: Yu Ishikawa
>            Assignee: Dennis Docter
>
> We should support operators for Kubernetes to execute containers remotely.
> - Create a Kubernetes cluster
> - Execute PODs
> - https://github.com/kubernetes-incubator/client-python



--
This message was sent by Atlassian JIRA
(v6.4.14#64029)

",t
36,26634,54,JIRA.13110574.1508391320000.5401.1508393040236@Atlassian.JIRA,2336,Jetsada Machom (JIRA),JIRA.13110574.1508391320000@Atlassian.JIRA,,,2017-10-18 23:04:00-07,"[jira] [Work started] (AIRFLOW-1736) Add HotelQuickly to Who Uses
 Airflow","
     [ https://issues.apache.org/jira/browse/AIRFLOW-1736?page=com.atlassian.jira.plugin.system.issuetabpanels:all-tabpanel ]

Work on AIRFLOW-1736 started by Jetsada Machom.
-----------------------------------------------
> Add HotelQuickly to Who Uses Airflow
> ------------------------------------
>
>                 Key: AIRFLOW-1736
>                 URL: https://issues.apache.org/jira/browse/AIRFLOW-1736
>             Project: Apache Airflow
>          Issue Type: Task
>            Reporter: Jetsada Machom
>            Assignee: Jetsada Machom
>            Priority: Trivial
>




--
This message was sent by Atlassian JIRA
(v6.4.14#64029)

",t
37,26635,54,JIRA.13110574.1508391320000.5402.1508393100068@Atlassian.JIRA,2336,Jetsada Machom (JIRA),JIRA.13110574.1508391320000@Atlassian.JIRA,,,2017-10-18 23:05:00-07,"[jira] [Resolved] (AIRFLOW-1736) Add HotelQuickly to Who Uses
 Airflow","
     [ https://issues.apache.org/jira/browse/AIRFLOW-1736?page=com.atlassian.jira.plugin.system.issuetabpanels:all-tabpanel ]

Jetsada Machom resolved AIRFLOW-1736.
-------------------------------------
    Resolution: Done

> Add HotelQuickly to Who Uses Airflow
> ------------------------------------
>
>                 Key: AIRFLOW-1736
>                 URL: https://issues.apache.org/jira/browse/AIRFLOW-1736
>             Project: Apache Airflow
>          Issue Type: Task
>            Reporter: Jetsada Machom
>            Assignee: Jetsada Machom
>            Priority: Trivial
>




--
This message was sent by Atlassian JIRA
(v6.4.14#64029)

",t
38,26636,54,JIRA.13110115.1508271682000.8939.1508427121318@Atlassian.JIRA,2332,Jessica Chen Fan  (JIRA),JIRA.13110115.1508271682000@Atlassian.JIRA,,,2017-10-19 08:32:01-07,"[jira] [Commented] (AIRFLOW-1728) Add networkUri, subnetworkUri and
 tags to DataprocClusterCreateOperator","
    [ https://issues.apache.org/jira/browse/AIRFLOW-1728?page=com.atlassian.jira.plugin.system.issuetabpanels:comment-tabpanel&focusedCommentId=16211215#comment-16211215 ] 

Jessica Chen Fan  commented on AIRFLOW-1728:
--------------------------------------------

PR here: https://github.com/apache/incubator-airflow/pull/2706

> Add networkUri, subnetworkUri and tags to DataprocClusterCreateOperator 
> ------------------------------------------------------------------------
>
>                 Key: AIRFLOW-1728
>                 URL: https://issues.apache.org/jira/browse/AIRFLOW-1728
>             Project: Apache Airflow
>          Issue Type: Improvement
>            Reporter: Jessica Chen Fan 
>            Assignee: Jessica Chen Fan 
>            Priority: Minor
>
> Add ability to specify subnetwork and firewall tags for easier networking when creating 
> dataproc clusters.



--
This message was sent by Atlassian JIRA
(v6.4.14#64029)

",t
39,631122,147,407C25FA.5040300@wyona.com,29,Michael Wechner,1081875729.2270.1.camel@gideon.rkunet.org,21601.0,Rolf Kulemann,2004-04-13 10:40:10-07,Re: Clone Proposal,"Rolf Kulemann wrote:

>
>Can u please explain what they are for?
>

very little changes in order to show people the idea of cloning a 
publication, e.g.

michi@neptun:~/src/cocoon-lenya$ ls src/webapp/lenya/pubs/my-default/
publication.xml  xslt
michi@neptun:~/src/cocoon-lenya$ ls src/webapp/lenya/pubs/my-default/xslt/
page2xhtml.xsl

> What is the difference to blog
>and default?
>  
>

difference between blog and default with regard to cloning?


-- 
Michael Wechner
Wyona Inc.  -   Open Source Content Management   -   Apache Lenya
http://www.wyona.com              http://cocoon.apache.org/lenya/
michael.wechner@wyona.com                        michi@apache.org


---------------------------------------------------------------------
To unsubscribe, e-mail: lenya-dev-unsubscribe@cocoon.apache.org
For additional commands, e-mail: lenya-dev-help@cocoon.apache.org


",f
40,26637,54,JIRA.13110712.1508429923000.9370.1508429940051@Atlassian.JIRA,2337,Andre Boechat (JIRA),JIRA.13110712.1508429923000@Atlassian.JIRA,,,2017-10-19 09:19:00-07,"[jira] [Created] (AIRFLOW-1737) set_task_instance_state fails
 because of strptime","Andre Boechat created AIRFLOW-1737:
--------------------------------------

             Summary: set_task_instance_state fails because of strptime
                 Key: AIRFLOW-1737
                 URL: https://issues.apache.org/jira/browse/AIRFLOW-1737
             Project: Apache Airflow
          Issue Type: Bug
          Components: webapp
            Reporter: Andre Boechat
            Priority: Minor
         Attachments: Screenshot_2017-10-18_15-58-29.png

Context:

* DAG run triggered manually
* Using the web application to change the state of a task

When trying to set the state of a task, an exception is thrown: `ValueError: unconverted data remains: ..372649` (look at the attached screenshot).

I think the problem comes from the ""execution date"" created by manually triggered DAGs, since the date-time includes a fractional part. In my database, I see scheduled DAGs with execution dates like ""10-18T15:00:00"", while manually triggered ones with dates like ""09-21T16:36:16.170988"". If we look at the method `set_task_instance_state` in *airflow.www.views"", we see that the format string used with `strptime` doesn''t consider any fractional part.



--
This message was sent by Atlassian JIRA
(v6.4.14#64029)

",t
41,26638,54,JIRA.13081281.1498007085000.9433.1508430540192@Atlassian.JIRA,1317,ASF subversion and git services (JIRA),JIRA.13081281.1498007085000@Atlassian.JIRA,,,2017-10-19 09:29:00-07,"[jira] [Commented] (AIRFLOW-1330) Connection.parse_from_uri doesn''t
 work for google_cloud_platform and so on","
    [ https://issues.apache.org/jira/browse/AIRFLOW-1330?page=com.atlassian.jira.plugin.system.issuetabpanels:comment-tabpanel&focusedCommentId=16211311#comment-16211311 ] 

ASF subversion and git services commented on AIRFLOW-1330:
----------------------------------------------------------

Commit 2f107d8a30910fd025774004d5c4c95407ed55c5 in incubator-airflow''s branch refs/heads/master from [~mrkm4ntr]
[ https://git-wip-us.apache.org/repos/asf?p=incubator-airflow.git;h=2f107d8 ]

[AIRFLOW-1330] Add conn_type argument to CLI when adding connection

Closes #2525 from mrkm4ntr/airflow-1330


> Connection.parse_from_uri doesn''t work for google_cloud_platform and so on
> --------------------------------------------------------------------------
>
>                 Key: AIRFLOW-1330
>                 URL: https://issues.apache.org/jira/browse/AIRFLOW-1330
>             Project: Apache Airflow
>          Issue Type: Bug
>          Components: cli
>            Reporter: Yu Ishikawa
>            Assignee: Shintaro Murakami
>
> h2. Overview
> {{Connection.parse_from_uri}} doesn''t work for some types like {{google_cloud_platform}} whose type name includes under scores. Since `urllib.parse.urlparse()` which is used in {{Connection.parse_from_url}} doesn''t support a schema name which include under scores.
> So, airflow''s CLI doesn''t work when a given connection URI includes under scores like {{google_cloud_platform://XXXXX}}.
> h3. Workaround
> https://medium.com/@yuu.ishikawa/apache-airflow-how-to-add-a-connection-to-google-cloud-with-cli-af2cc8df138d



--
This message was sent by Atlassian JIRA
(v6.4.14#64029)

",t
42,26639,54,JIRA.13081281.1498007085000.9443.1508430600731@Atlassian.JIRA,1273,Chris Riccomini (JIRA),JIRA.13081281.1498007085000@Atlassian.JIRA,,,2017-10-19 09:30:00-07,"[jira] [Resolved] (AIRFLOW-1330) Connection.parse_from_uri doesn''t
 work for google_cloud_platform and so on","
     [ https://issues.apache.org/jira/browse/AIRFLOW-1330?page=com.atlassian.jira.plugin.system.issuetabpanels:all-tabpanel ]

Chris Riccomini resolved AIRFLOW-1330.
--------------------------------------
       Resolution: Fixed
    Fix Version/s: 1.10.0

> Connection.parse_from_uri doesn''t work for google_cloud_platform and so on
> --------------------------------------------------------------------------
>
>                 Key: AIRFLOW-1330
>                 URL: https://issues.apache.org/jira/browse/AIRFLOW-1330
>             Project: Apache Airflow
>          Issue Type: Bug
>          Components: cli
>            Reporter: Yu Ishikawa
>            Assignee: Shintaro Murakami
>             Fix For: 1.10.0
>
>
> h2. Overview
> {{Connection.parse_from_uri}} doesn''t work for some types like {{google_cloud_platform}} whose type name includes under scores. Since `urllib.parse.urlparse()` which is used in {{Connection.parse_from_url}} doesn''t support a schema name which include under scores.
> So, airflow''s CLI doesn''t work when a given connection URI includes under scores like {{google_cloud_platform://XXXXX}}.
> h3. Workaround
> https://medium.com/@yuu.ishikawa/apache-airflow-how-to-add-a-connection-to-google-cloud-with-cli-af2cc8df138d



--
This message was sent by Atlassian JIRA
(v6.4.14#64029)

",t
43,26640,54,JIRA.13110712.1508429923000.9444.1508430600742@Atlassian.JIRA,2337,Andre Boechat (JIRA),JIRA.13110712.1508429923000@Atlassian.JIRA,,,2017-10-19 09:30:00-07,"[jira] [Updated] (AIRFLOW-1737) set_task_instance_state fails
 because of strptime","
     [ https://issues.apache.org/jira/browse/AIRFLOW-1737?page=com.atlassian.jira.plugin.system.issuetabpanels:all-tabpanel ]

Andre Boechat updated AIRFLOW-1737:
-----------------------------------
    Description: 
Context:

* DAG run triggered manually
* Using the web application to change the state of a task

When trying to set the state of a task, an exception is thrown: `ValueError: unconverted data remains: ..372649` (look at the attached screenshot).

I think the problem comes from the ""execution date"" created by manually triggered DAGs, since the date-time includes a fractional part. In my database, I see scheduled DAGs with execution dates like ""10-18T15:00:00"", while manually triggered ones with dates like ""09-21T16:36:16.170988"". If we look at the method *set_task_instance_state* in *airflow.www.views*, we see that the format string used with *strptime* doesn''t consider any fractional part.

  was:
Context:

* DAG run triggered manually
* Using the web application to change the state of a task

When trying to set the state of a task, an exception is thrown: `ValueError: unconverted data remains: ..372649` (look at the attached screenshot).

I think the problem comes from the ""execution date"" created by manually triggered DAGs, since the date-time includes a fractional part. In my database, I see scheduled DAGs with execution dates like ""10-18T15:00:00"", while manually triggered ones with dates like ""09-21T16:36:16.170988"". If we look at the method `set_task_instance_state` in *airflow.www.views"", we see that the format string used with `strptime` doesn''t consider any fractional part.


> set_task_instance_state fails because of strptime
> -------------------------------------------------
>
>                 Key: AIRFLOW-1737
>                 URL: https://issues.apache.org/jira/browse/AIRFLOW-1737
>             Project: Apache Airflow
>          Issue Type: Bug
>          Components: webapp
>            Reporter: Andre Boechat
>            Priority: Minor
>         Attachments: Screenshot_2017-10-18_15-58-29.png
>
>
> Context:
> * DAG run triggered manually
> * Using the web application to change the state of a task
> When trying to set the state of a task, an exception is thrown: `ValueError: unconverted data remains: ..372649` (look at the attached screenshot).
> I think the problem comes from the ""execution date"" created by manually triggered DAGs, since the date-time includes a fractional part. In my database, I see scheduled DAGs with execution dates like ""10-18T15:00:00"", while manually triggered ones with dates like ""09-21T16:36:16.170988"". If we look at the method *set_task_instance_state* in *airflow.www.views*, we see that the format string used with *strptime* doesn''t consider any fractional part.



--
This message was sent by Atlassian JIRA
(v6.4.14#64029)

",t
44,26641,54,JIRA.13110712.1508429923000.9445.1508430660064@Atlassian.JIRA,2337,Andre Boechat (JIRA),JIRA.13110712.1508429923000@Atlassian.JIRA,,,2017-10-19 09:31:00-07,"[jira] [Updated] (AIRFLOW-1737) set_task_instance_state fails
 because of strptime","
     [ https://issues.apache.org/jira/browse/AIRFLOW-1737?page=com.atlassian.jira.plugin.system.issuetabpanels:all-tabpanel ]

Andre Boechat updated AIRFLOW-1737:
-----------------------------------
    Description: 
Context:

* DAG run triggered manually
* Using the web application to change the state of a task

When trying to set the state of a task, an exception is thrown: *ValueError: unconverted data remains: ..372649* (look at the attached screenshot).

I think the problem comes from the ""execution date"" created by manually triggered DAGs, since the date-time includes a fractional part. In my database, I see scheduled DAGs with execution dates like ""10-18T15:00:00"", while manually triggered ones with dates like ""09-21T16:36:16.170988"". If we look at the method *set_task_instance_state* in *airflow.www.views*, we see that the format string used with *strptime* doesn''t consider any fractional part.

  was:
Context:

* DAG run triggered manually
* Using the web application to change the state of a task

When trying to set the state of a task, an exception is thrown: `ValueError: unconverted data remains: ..372649` (look at the attached screenshot).

I think the problem comes from the ""execution date"" created by manually triggered DAGs, since the date-time includes a fractional part. In my database, I see scheduled DAGs with execution dates like ""10-18T15:00:00"", while manually triggered ones with dates like ""09-21T16:36:16.170988"". If we look at the method *set_task_instance_state* in *airflow.www.views*, we see that the format string used with *strptime* doesn''t consider any fractional part.


> set_task_instance_state fails because of strptime
> -------------------------------------------------
>
>                 Key: AIRFLOW-1737
>                 URL: https://issues.apache.org/jira/browse/AIRFLOW-1737
>             Project: Apache Airflow
>          Issue Type: Bug
>          Components: webapp
>            Reporter: Andre Boechat
>            Priority: Minor
>         Attachments: Screenshot_2017-10-18_15-58-29.png
>
>
> Context:
> * DAG run triggered manually
> * Using the web application to change the state of a task
> When trying to set the state of a task, an exception is thrown: *ValueError: unconverted data remains: ..372649* (look at the attached screenshot).
> I think the problem comes from the ""execution date"" created by manually triggered DAGs, since the date-time includes a fractional part. In my database, I see scheduled DAGs with execution dates like ""10-18T15:00:00"", while manually triggered ones with dates like ""09-21T16:36:16.170988"". If we look at the method *set_task_instance_state* in *airflow.www.views*, we see that the format string used with *strptime* doesn''t consider any fractional part.



--
This message was sent by Atlassian JIRA
(v6.4.14#64029)

",t
45,26642,54,JIRA.13110728.1508433863000.9786.1508433900229@Atlassian.JIRA,2338,Christopher Groskopf (JIRA),JIRA.13110728.1508433863000@Atlassian.JIRA,,,2017-10-19 10:25:00-07,"[jira] [Created] (AIRFLOW-1738) Deleting dag.py after manual run
 causes Airflow to hang on next manual run","Christopher Groskopf created AIRFLOW-1738:
---------------------------------------------

             Summary: Deleting dag.py after manual run causes Airflow to hang on next manual run
                 Key: AIRFLOW-1738
                 URL: https://issues.apache.org/jira/browse/AIRFLOW-1738
             Project: Apache Airflow
          Issue Type: Bug
          Components: DagRun
         Environment: Airflow 1.8.2, running on Alpine Docker images with Celery.
            Reporter: Christopher Groskopf
            Priority: Minor


We''re building integration tests around Airflow that upload a new {{dag.py}} file, trigger it''s execution (using {{airflow.api.common.experimental.trigger_dag}}), wait for it to complete, and then cleanup. However, we''ve run into a peculiar set of circumstances where if we do this multiple times in sequence, Airflow will sometime hang indefinitely when we try to trigger our next dag.

I''ve traced this and determined that the issue only happens if remove the dag files after each test. I speculate that this is because triggering a dag invokes {{create_dagrun}} which in turn invokes {{verify_integrity}}, which I believe may be choking on the sudden disappearance of the DAG files. I''m certain this is correct, but it''s the best explanation I''ve been able to come up with.



--
This message was sent by Atlassian JIRA
(v6.4.14#64029)

",t
46,26643,54,JIRA.13110728.1508433863000.9790.1508433900280@Atlassian.JIRA,2338,Christopher Groskopf (JIRA),JIRA.13110728.1508433863000@Atlassian.JIRA,,,2017-10-19 10:25:00-07,"[jira] [Updated] (AIRFLOW-1738) Deleting dag.py after manual run
 causes Airflow to hang on next manual run","
     [ https://issues.apache.org/jira/browse/AIRFLOW-1738?page=com.atlassian.jira.plugin.system.issuetabpanels:all-tabpanel ]

Christopher Groskopf updated AIRFLOW-1738:
------------------------------------------
    Description: 
We''re building integration tests around Airflow that upload a new {{dag.py}} file, trigger it''s execution (using {{airflow.api.common.experimental.trigger_dag}}), wait for it to complete, and then cleanup. However, we''ve run into a peculiar set of circumstances where if we do this multiple times in sequence, Airflow will sometime hang indefinitely when we try to trigger our next dag.

I''ve traced this and determined that the issue only happens if remove the dag files after each test. I speculate that this is because triggering a dag invokes {{create_dagrun}} which in turn invokes {{verify_integrity}}, which I believe may be choking on the sudden disappearance of the DAG files. I''m not certain this is correct, but it''s the best explanation I''ve been able to come up with.

  was:
We''re building integration tests around Airflow that upload a new {{dag.py}} file, trigger it''s execution (using {{airflow.api.common.experimental.trigger_dag}}), wait for it to complete, and then cleanup. However, we''ve run into a peculiar set of circumstances where if we do this multiple times in sequence, Airflow will sometime hang indefinitely when we try to trigger our next dag.

I''ve traced this and determined that the issue only happens if remove the dag files after each test. I speculate that this is because triggering a dag invokes {{create_dagrun}} which in turn invokes {{verify_integrity}}, which I believe may be choking on the sudden disappearance of the DAG files. I''m certain this is correct, but it''s the best explanation I''ve been able to come up with.


> Deleting dag.py after manual run causes Airflow to hang on next manual run
> --------------------------------------------------------------------------
>
>                 Key: AIRFLOW-1738
>                 URL: https://issues.apache.org/jira/browse/AIRFLOW-1738
>             Project: Apache Airflow
>          Issue Type: Bug
>          Components: DagRun
>         Environment: Airflow 1.8.2, running on Alpine Docker images with Celery.
>            Reporter: Christopher Groskopf
>            Priority: Minor
>
> We''re building integration tests around Airflow that upload a new {{dag.py}} file, trigger it''s execution (using {{airflow.api.common.experimental.trigger_dag}}), wait for it to complete, and then cleanup. However, we''ve run into a peculiar set of circumstances where if we do this multiple times in sequence, Airflow will sometime hang indefinitely when we try to trigger our next dag.
> I''ve traced this and determined that the issue only happens if remove the dag files after each test. I speculate that this is because triggering a dag invokes {{create_dagrun}} which in turn invokes {{verify_integrity}}, which I believe may be choking on the sudden disappearance of the DAG files. I''m not certain this is correct, but it''s the best explanation I''ve been able to come up with.



--
This message was sent by Atlassian JIRA
(v6.4.14#64029)

",t
47,26644,54,JIRA.13110079.1508264991000.10775.1508439120164@Atlassian.JIRA,1317,ASF subversion and git services (JIRA),JIRA.13110079.1508264991000@Atlassian.JIRA,,,2017-10-19 11:52:00-07,"[jira] [Commented] (AIRFLOW-1726) Copy Expert command for Postgres
 Hook","
    [ https://issues.apache.org/jira/browse/AIRFLOW-1726?page=com.atlassian.jira.plugin.system.issuetabpanels:comment-tabpanel&focusedCommentId=16211541#comment-16211541 ] 

ASF subversion and git services commented on AIRFLOW-1726:
----------------------------------------------------------

Commit 6372770be6aab67654cede81d6b027a838077a8a in incubator-airflow''s branch refs/heads/master from [~andyxhadji]
[ https://git-wip-us.apache.org/repos/asf?p=incubator-airflow.git;h=6372770 ]

[AIRFLOW-1726] Add copy_expert psycopg2 method to PostgresHook

Executes SQL using psycopg2 copy_expert method
Necessary to execute COPY command without access to a superuser

Closes #2698 from andyxhadji/AIRFLOW-1726


> Copy Expert command for Postgres Hook
> -------------------------------------
>
>                 Key: AIRFLOW-1726
>                 URL: https://issues.apache.org/jira/browse/AIRFLOW-1726
>             Project: Apache Airflow
>          Issue Type: Improvement
>            Reporter: Andy Hadjigeorgiou
>            Assignee: Andy Hadjigeorgiou
>            Priority: Minor
>
> The Copy command is useful for postgres users, and it''s client-based version ""\COPY"" can be frustrating to use due to python escape character shenanigans. Fortunately, psycopg2 supports a copy_expert method that simplifies the command and it''s options, so I think it would be a useful addition to the PostgresHook.
> I''m working on the PR now, will post here when complete.



--
This message was sent by Atlassian JIRA
(v6.4.14#64029)

",t
48,26645,54,JIRA.13110079.1508264991000.10774.1508439120155@Atlassian.JIRA,1317,ASF subversion and git services (JIRA),JIRA.13110079.1508264991000@Atlassian.JIRA,,,2017-10-19 11:52:00-07,"[jira] [Commented] (AIRFLOW-1726) Copy Expert command for Postgres
 Hook","
    [ https://issues.apache.org/jira/browse/AIRFLOW-1726?page=com.atlassian.jira.plugin.system.issuetabpanels:comment-tabpanel&focusedCommentId=16211540#comment-16211540 ] 

ASF subversion and git services commented on AIRFLOW-1726:
----------------------------------------------------------

Commit 6372770be6aab67654cede81d6b027a838077a8a in incubator-airflow''s branch refs/heads/master from [~andyxhadji]
[ https://git-wip-us.apache.org/repos/asf?p=incubator-airflow.git;h=6372770 ]

[AIRFLOW-1726] Add copy_expert psycopg2 method to PostgresHook

Executes SQL using psycopg2 copy_expert method
Necessary to execute COPY command without access to a superuser

Closes #2698 from andyxhadji/AIRFLOW-1726


> Copy Expert command for Postgres Hook
> -------------------------------------
>
>                 Key: AIRFLOW-1726
>                 URL: https://issues.apache.org/jira/browse/AIRFLOW-1726
>             Project: Apache Airflow
>          Issue Type: Improvement
>            Reporter: Andy Hadjigeorgiou
>            Assignee: Andy Hadjigeorgiou
>            Priority: Minor
>
> The Copy command is useful for postgres users, and it''s client-based version ""\COPY"" can be frustrating to use due to python escape character shenanigans. Fortunately, psycopg2 supports a copy_expert method that simplifies the command and it''s options, so I think it would be a useful addition to the PostgresHook.
> I''m working on the PR now, will post here when complete.



--
This message was sent by Atlassian JIRA
(v6.4.14#64029)

",t
